Symbol;H9_RPKM;FB_RPKM
PLXNC1;1,09;27,86
ZNRF1;3,43;7,54
MGC39372;0,35;0,07
ZNRF3;2,71;3,35
ZNRF2;6,62;4,48
EFCAB9;0,05;0,04
MYBBP1A;2,23;1,15
EFCAB5;0,03;0,17
FLNA;7,61;3,87
FLNB;15,35;4,89
EFCAB6;0,11;0,66
EFCAB1;0;0,84
EFCAB3;0,71;1,86
EFCAB2;2,01;2,83
MIR34A;0;0
LETM1;3,42;3,34
GRTP1;7,42;1,47
WASH7P;0,18;1,01
LETM2;0,6;2,77
PRKCSH;9,75;10,74
RAD51AP1;32,45;21,37
RAD51AP2;0,17;0,3
SAP30BP;13,24;11,78
SIT1;0,15;0
CXorf26;37,26;15,53
CXorf23;3,12;7,86
CXorf22;0,05;0,32
AKIRIN2-AS1;6,52;10,46
MIR340;0;0
PSMD9;4,05;3,97
PSMD8;23,64;23,13
PSMD5;12,38;2,47
PSMD4;49,87;38,43
PSMD7;90,27;43,75
PSMD6;91,7;50,7
PSMD1;112,47;41,32
PSMD3;28,46;18,99
PSMD2;71,01;45,76
RPGRIP1L;3,35;6,23
COPS7B;14,6;10,82
CIDECP;0,86;1,88
COPS7A;5,71;5,68
NAF1;13,33;5,69
OR5E1P;0,97;0
RTN4RL1;0,01;0,42
DKK2;0,07;0,48
DKK3;5,56;17,89
SPIRE2;0,17;1,12
RABGGTB;78,81;25,33
RABGGTA;0,43;0,7
CES4A;0,05;1,86
SLMO2-ATP5E;108,13;122,82
EBLN2;2,08;1,98
POF1B;0,04;0,06
CERKL;0,39;0,56
LOC440905;2,03;14,81
PLBD2;1,13;1,25
PLBD1;24,52;0,24
PTAR1;30,44;15,76
CEP350;8,9;11,24
LOC100130776;0,02;0,88
YEATS2;13,71;15,12
DHRS4L1;0,25;0,16
FAM36A;27,61;51,99
TCEANC;0,85;1,76
C11orf58;63,37;58,03
C11orf52;0,41;0,05
C11orf51;16,31;14,4
CNPPD1;3,23;6,74
RAD54L2;2,97;5,92
TICAM1;0,01;0,01
GANC;2,2;2,16
TUBB;0,05;0,09
HDAC1;49,26;31,89
HDAC3;27,52;21,76
HDAC2;69,77;59,47
HDAC5;0,62;2,04
HDAC4;1,11;2,64
HDAC7;2,62;2,23
HDAC6;1,79;10,32
HDAC9;2,55;9,43
HDAC8;3,08;4,51
TMEM161A;0,43;0,54
TMEM161B;10,06;12,44
FILIP1;1,52;1,83
CDT1;0,85;0,58
LOC641298;3,86;2,91
TRAPPC10;7,59;7,65
CST3;0,83;4,04
CST1;0,12;0,04
PLA2R1;0,35;0,25
CSTA;0,63;0,04
SUMO1P3;10,42;5,83
CMC1;20,7;8,58
LOC100272228;0,26;2,39
PI4KAP2;1,23;5,91
AMIGO1;0,55;2,95
AMIGO3;0,04;0,15
AMIGO2;2,79;0,76
SRCAP;2,94;5,28
CECR4;0;0,14
CEBPB;1,75;0,65
CEBPA;0,2;0,24
CEBPG;24,79;32,15
CEBPD;0,52;0,14
MAP3K12;1,95;6,24
PHKB;15,95;23,11
PPIEL;0,62;0,93
ADNP2;16,96;12,25
LOC388564;0;0
MAP3K15;1,49;2,16
CTNNA1;96,41;50,38
CTNNA2;1,11;23,88
CTNNA3;0,5;0,21
STXBP5L;0,85;3,57
SELRC1;14,95;7,07
TM7SF3;29,74;15,9
TM7SF2;1,23;3,66
RNF138P1;0,1;0,07
EPB41L4B;6,82;1,77
EPB41L4A;5,65;7,59
ATP2C2;0,21;0,07
PTENP1;1,59;2,01
ATP2C1;26;25,98
TFB2M;17,28;4,71
GP6;0,2;0,14
GPI;18,08;15,9
EXTL1;0,02;0,1
EXTL2;36,47;24,39
EXTL3;16;12,27
SNORD83A;0,47;0,86
SNORD83B;0,07;0,07
MAN1A1;3,32;4,29
MAN1A2;9,11;16,26
ATIC;94,04;17,84
HDAC11;0,36;0,85
IKBKG;0,24;0,33
SNORA71C;0,11;0
SNORA71B;0,72;2,01
SNORA71A;0,48;0,05
SYNM;1,82;2,39
SNORA71D;0;0
SYNC;38,5;51,1
AP4B1;5,58;11,93
PIK3IP1;0,46;1,86
LOC100303749;0,04;0,04
ZFAND2B;0,9;2,15
THADA;8,03;5,64
ZFAND2A;2,97;4,61
ACSF2;0,84;0,93
ACSF3;0,59;0,63
MAN2A2;1,29;5,75
MAN2A1;42,17;6,2
MIR3609;0;0
GRLF1;12;20,73
MIR3605;0,18;3,33
MIR3607;2,62;1,16
EDA2R;6,24;6,23
RBFOX3;0,87;0,72
FAM163A;0,02;0,15
RBFOX1;0,07;8,21
LOC404266;0;0,16
POLE4;13,2;9,77
POLE3;33,08;28,85
STRN;20,46;9,86
SYN2;0,93;1,86
SYN3;2,91;1,44
SYN1;0,71;4,3
C12orf10;4,59;4,09
C12orf11;25,87;8,27
LOC727896;0,14;0,07
STARD5;0,52;0,22
LOC641518;0;0,42
GABRB1;0,02;0,64
GABRB2;0,08;9,63
GABRB3;30,46;26,97
SEPP1;6,89;10,1
NLRC4;0,1;0,18
NLRC3;0,1;0,4
DYDC2;1,62;0,63
DYDC1;0,08;0,27
RAP1GAP;0,51;2,51
DHRS4L2;1,57;0,91
LOC100144602;0,1;1,54
MALT1;9,2;12,97
COL18A1;1,79;0,41
MIR10B;0;0
MIR10A;0;0
OPRK1;0,07;0,16
LOC339929;0,07;0,28
DNAH14;1,49;1,18
DNAH17;0,12;0,09
DNAH10;0,03;0,81
DNAH11;2,37;1,18
DNAH12;0,01;0,21
GLI2;1,88;5,3
EDN1;3,9;0,8
EDN3;0,06;0,12
KIAA1244;5,72;2,54
RSPRY1;12,02;18,3
LOC653160;0,31;0,48
DKKL1;0,2;0,29
UBE2L6;8,76;23,33
KCNA6;0,9;3,31
UBE2L3;40,85;23,07
TGFA;1,83;0,74
PREX2;11,86;3,98
PREX1;0,54;1,99
CNIH;55,71;40,11
STT3B;70,44;55,67
STT3A;51,6;25,24
FAM8A1;6,97;18,66
TUBA8;0,03;0,33
STON2;2,44;1,99
OXGR1;0,01;0,05
SLC13A1;0,01;0,03
SLC13A3;1,89;1,9
SLC13A4;0,57;0,81
SLC13A5;0,28;0,03
RGS16;1,99;3,64
RGS17;2,72;8,47
RGS14;0,1;0,09
RGS12;0,86;4,25
RGS10;6,68;0,57
RGS11;0,01;0,1
RGS19;1,15;0,68
EMX2OS;0;4,07
UTP6;45,68;20,16
UTP3;34,23;12,05
CLEC16A;1,52;4,06
ANKAR;0,43;0,91
BTN2A2;2,91;3,1
BTN2A1;3,1;7,25
VANGL2;14,55;35
TTLL11;0,05;1,26
TTLL13;0;0,13
TTLL12;3,6;1,86
IGFL4;0,15;0,3
ODF2L;6,56;11,07
PLAU;7,6;0,13
PLAT;1,2;0,55
C1orf198;8,43;9,73
SNF8;16,55;15,59
C1orf192;5,65;11,54
PLAA;27,76;12,92
C1orf190;0,39;0,33
C1orf194;0,06;1,31
BCL6B;0,88;0,02
HIF3A;0,62;2,01
GTF2IP1;57,15;95,45
MZT2A;0,66;0,63
MZT2B;0,79;1,57
PMM2;12,65;2,8
PMM1;0,7;3,14
ZNF709;0,57;5,29
ZNF708;8,91;13,85
ZNF703;0,01;0,26
ZNF701;3,39;2,1
ZNF700;6,65;10,29
ZNF707;0,65;0,51
ZNF706;14,7;21,57
ZNF704;0,89;16,98
ZC3H10;1,03;1,94
ZC3H13;24,84;24,99
RNF115;14,46;13,5
ZC3H15;68,72;43,17
ZC3H14;24,78;23,36
RNF111;6,16;9,57
ZC3H18;4,7;5,19
DHX8;12,1;9,78
DHX9;111,25;107,52
NUP98;24,54;13,55
XPC;10,71;10,63
GRINA;2,56;6,73
NUP93;33,06;32,02
RAB40C;0,36;1,08
RAB40B;0,66;3,92
RAB40A;0,81;1,34
GTSE1;6,41;7,64
NSL1;3,99;3,28
MYO3B;0,04;0,14
NOP2;12,51;5,67
DENND4A;1,98;5
DENND4B;2,82;3,3
DENND4C;7,8;13,86
SWAP70;24,17;3,9
PHLDA1;15,93;8,04
PHLDA3;1;0,54
PHLDA2;0,3;0
PAMR1;0,78;0,24
TIPRL;19,76;31,4
GHDC;0,29;0,23
H19;0,09;1,21
NOG;0;0,88
NOV;0,09;0,46
SMAD9;0,23;4,16
TRERF1;3,07;6,08
LRPAP1;4,45;5,72
SMAD5;20,92;19,92
SMAD6;0,35;0,26
SMAD7;4,72;0,77
GOLPH3L;19,22;5,42
SMAD1;10,59;17,34
SMAD2;9,83;10,65
SMAD3;3,66;6,88
MUS81;1,06;3,35
AMMECR1L;7,67;7,56
PLRG1;33,11;29,63
ERICH1;8,42;3,75
HERC2P3;1,96;8,39
HERC2P2;3,35;20,47
HERC2P4;1,33;1,91
HERC2P7;1,28;3
HERC2P9;4,14;16,3
TCEA2;0,19;1,45
TCEA3;0;0,18
TCEA1;131,25;58,76
BFAR;25,2;13,2
LEO1;22,4;14,96
MGRN1;1,03;1,76
CUEDC1;0,4;3,1
CUEDC2;3;9,17
RBMXL1;14,22;9,64
TLN2;1,93;2,24
RHEBL1;2,42;0,14
PNOC;0;0,56
CNTF;0,61;1,02
PNP;25,08;5,03
PNN;112,02;91,99
CNPY4;3,5;6,81
CNPY3;6,56;5,15
CNPY2;27,44;17,46
CNPY1;0,06;0,27
MRO;0,28;0,02
CHFR;5;4,75
SYPL1;42,76;11,42
TIGD1;5,29;11,2
NUDT9P1;0,14;0,38
SYPL2;0,38;0,06
RFX8;0,38;0,07
RFX4;0,05;6,3
RFX5;14,09;14,03
RFX7;14,23;19,75
RFX1;0,21;0,31
RFX2;0,08;0,97
RFX3;1,89;9,18
YDJC;0,6;0,43
IBA57;0,81;1,25
APC;6,94;26,06
TMEM179B;4,5;5,45
ADNP;46,62;54,76
ZNF57;5,57;2,42
TARS2;7,13;4,43
IGFBP2;5,25;9,53
IGFBP3;1,57;1,9
HBE1;0;0
IGFBP7;6,78;4,47
IGFBP4;12,96;2,34
IGFBP5;0,48;4,72
CYP2R1;5,93;8,84
CKLF;4,49;5,64
APLNR;0,01;0,08
PMS2P1;4,91;4,99
PMS2P3;2,07;3,26
PMS2P4;1,26;3,02
PMS2P5;1,98;2,07
CSNK2A1P;2,85;2,54
TXNIP;18,89;114,8
FAM157A;0,87;0,14
LOC100287428;0,16;0,3
MECOM;0,07;0,96
CLIC6;0,81;0,75
CLIC4;171,49;78,72
CLIC5;0,02;0,01
CLIC2;0,13;0,93
CXorf1;0;1,17
KIAA0020;49,74;9,05
LOC574538;0,01;0,1
SECISBP2L;9,92;22,94
PKD1P1;0,36;1,42
TSNAX-DISC1;2,46;1,69
ZNF7;8,86;7,31
ZNF2;0,6;1,32
ZNF3;17,04;15,11
CTCFL;0,27;0,02
ZNF8;4,4;5,53
CDC5L;37,16;34,63
SBDS;26,6;26,39
RCL1;13,06;4,06
MRPS18A;5,19;3,98
AP2A1;4,97;5,27
AP2A2;3,63;7,91
FIGNL1;8,7;13,94
NSUN3;4,17;4,44
NSUN2;44,33;14,62
NSUN5;2,85;3,01
NSUN4;4,13;3,1
NSUN7;8,93;1,1
NSUN6;6,12;8,4
RRP7A;1,81;2,92
RRP7B;0,83;2,53
BRD8;12,34;19,15
BRD9;8,64;9,09
BRD4;3,38;3,68
BRD7;64,82;47,28
BRD1;2,91;7,06
BRD2;0,04;0,08
BRD3;8,59;13,31
LOC643387;3,09;2,68
CH25H;0,38;0
CSF2RA;0,19;0,07
DMD;1;3,1
SEH1L;24,22;14,31
GAB2;1,48;4,82
GAB3;0,29;0,01
GAB1;4,75;6,13
ZSCAN2;4,83;3,87
DNAJB13;0,07;0,12
DNAJB12;1,2;2,78
DNAJB11;45,01;26,53
PCTP;8,53;2,64
DNAJB14;14,14;12,07
VILL;0,1;0,02
PSD;0,02;0,84
PPIAL4G;0,17;0,55
ATAT1;0,08;0,25
AKIRIN2;21,91;24,53
AKIRIN1;114,55;43,96
MIR181B2;0;0,96
MIR181B1;0;0,38
AVPI1;1,93;0,78
ASAP1;10,33;15,59
ASAP2;4,71;20,45
ASAP3;4,41;5,75
OCRL;21,12;31,05
KIAA1033;21,93;12,71
C14orf135;14,13;35,74
LOC285484;0,19;0,36
C14orf132;2,23;24,26
CALCRL;0,69;1
ANKLE1;0,97;0,45
SERPINB9;33,62;1,1
ANKLE2;11,67;12,7
RHPN1;0,01;0,1
CSNK1G3;18,51;13,8
SRRM1;48,74;28,24
SRRM3;0,2;0,85
SRRM2;50,97;63,59
SRRM5;0,16;1,02
SRRM4;0,22;7,58
SEPX1;1,11;0,85
TM2D1;7,99;10,85
TM2D2;14,86;6,61
TM2D3;8,76;26,05
OGFRL1;26,08;7,93
RSBN1;4,83;13,99
ARHGAP23;2,41;1,4
ARHGAP22;1,32;0,18
ARHGAP21;15,09;57,65
ARHGAP20;0,05;0,81
ARHGAP27;0,18;0,07
ARHGAP26;3,33;1,15
ARHGAP25;0,25;0,34
ARHGAP24;0,12;0,42
ARHGAP29;1,26;0,67
ARHGAP28;11,9;4,83
HHAT;0,21;1,51
RBFA;1,91;2,35
LOC162632;1,35;4,35
LOC613037;0,63;0,92
DBIL5P;0,26;0,45
RSAD2;0,02;0,26
RSAD1;9,52;7,25
LOC283050;0,01;0,11
GALK1;0,07;0,15
IL4R;1,88;0,11
DYNC1LI1;31,97;30,82
DYNC1LI2;39,33;60,16
EFHC2;0,78;0,97
EFHC1;3,08;13,34
ABCG1;0,02;3,78
ABCG2;1,36;0,03
ABCG4;0,05;0,37
PLSCR1;18,58;3,51
EPR1;36,98;24,43
GADL1;0,1;0,1
SLA2;0,14;0,12
C4orf36;1,1;0,28
C4orf34;8,66;12,15
C4orf32;0,89;0,9
C4orf33;3,59;9,03
C4orf31;0,59;5,25
C4orf38;0,09;0
C4orf39;0,71;2,16
C15orf48;0,03;0,1
C15orf44;21,31;15,61
C15orf40;5,15;5,74
C15orf41;5,79;6,18
C15orf42;7,27;4,33
PKD2;15,76;16,16
PKD1;0,11;0,52
LOC100287227;0,07;0,06
ZNF138;15,7;19,95
PRKACA;5,24;15,73
PRKACB;10,41;60,38
ZNF131;20,99;16
ZNF132;0,4;2,23
ZNF133;2,48;4,29
ZNF134;24,91;14,36
ZNF135;0,7;0,7
ZNF136;3,93;6,6
SPG7;4,47;4,06
C20orf72;36,15;16,05
KCNK5;1,94;0,08
KCNK6;0,76;0
KCNK1;4,57;0,74
KCNK2;0,19;2,83
KCNK3;0,05;1,01
KLHDC1;0,02;1,38
PPAN-P2RY11;0,62;0,39
SCAF11;24,03;23,32
NUP160;46,05;24,09
ERVFRDE1;0,01;0,01
VWDE;6,66;0,05
GNA14;9,89;0,18
GNA12;10,95;8,44
GNA13;30,05;25,43
GNA11;0,62;2,41
MFGE8;18,84;3,19
C19orf18;0,33;0,6
OGDH;6,07;4,81
SEMG1;2,41;0,02
RPL13AP20;8,44;9,11
DAZL;1,39;0
C1orf131;7,35;7,99
NEUROG2;0,01;6,27
ZBTB33;10,83;18,67
GTF2F1;4,15;6,45
GTF2F2;50,68;20,59
LOC284412;0,3;0,17
MIR3189;0,31;0
MIR3187;0;0
MIR3186;0;0,9
MIR3184;0;0,04
TMEM132A;0,24;1,14
PEG10;40,87;438,81
TMEM132B;3,77;5,18
NAIF1;0,61;0,88
H3F3C;1,43;1,35
H3F3B;165;181,85
H3F3A;566,95;877,66
CCL25;0;0,06
CCL27;0,14;0,42
CCL26;1,37;0
ALPK1;0,04;0,44
ALPK3;2,43;0,15
MAU2;1,4;4,16
CUX1;2,69;6,38
CUX2;1,24;3,95
FAM70A;0,12;8,94
FAM70B;0,01;0,05
CSNK1A1;73,4;65,53
GLYATL2;0,14;2,38
GLYATL1;2,39;0,42
RAP1B;80,84;54,72
RAP1A;21,72;22,68
SNORA68;0,79;0,25
SNORA69;2,23;0,31
SNORA64;0,55;0,9
SNORA65;0,87;1,37
SNORA66;2,22;2,26
SNORA67;9,18;9,83
SNORA60;0,35;0,28
SNORA61;23,7;6,01
SNORA62;6,7;5,01
SNORA63;16,03;15,92
MTCP1NB;9,52;6,48
CTF1;0,07;0,23
LDLR;10,13;6,68
LOC643719;0;0,22
UBFD1;27,2;21,35
ACRV1;0,19;0,73
MYF6;0,02;0,02
PRKCDBP;1,04;0,03
TOB2;5,41;5,74
SULF2;7,85;6,14
SULF1;1,59;7,27
GPR126;2,09;0,42
GPR124;0,18;0,39
GPR125;26,07;24,46
GPR123;0;1,15
NOS1AP;0,45;2,39
LOC723972;0;0
MTERFD3;6,11;12,64
MTERFD2;6,85;9,51
MTERFD1;22,83;17,51
TFG;44,27;41,96
HVCN1;2,17;0,96
RND1;1,47;1,03
RND2;5,79;6,87
RND3;66,83;70,05
CTNNBIP1;6,19;8,67
KIAA1549;2,02;9,26
KIAA1543;0,13;0,52
LRRC41;5,46;8,46
LRRC40;25,93;26,17
LRRC43;0,04;0,14
LRRC42;24,83;15,64
LRRC45;0,31;0,54
LRRC47;15,16;10,26
LRRC46;0,05;0,61
LRRC49;4,62;20,99
LRRC48;0,19;1,14
FNDC8;0,34;0,58
FNDC9;0,01;0,88
FLJ22536;2,55;2,95
FNDC4;1,42;6,3
FNDC5;0,39;4,05
FNDC7;0,15;0
LOC729991;0,35;0,81
FNDC1;0,11;0,02
PWWP2B;0,3;0,35
PWWP2A;11,99;7,25
CCDC152;10,12;7,59
CCDC153;0,16;0,15
CCDC150;8,46;3,4
CCDC151;0,07;0,15
CCDC157;0,01;0,06
CCDC154;0;0,01
CCDC159;0,43;0,98
TIMM50;7,5;4,03
LRRC4C;0,04;4,19
LRRC4B;0;0,33
TASP1;3,28;2,69
CNTROB;1,47;4,45
PALMD;0;4,17
PALM3;2,31;0,4
PALM2;1;0,99
MANSC1;4,59;7,33
ICMT;31,03;10,35
MIR1911;0;0
MIR1914;0;0
FCF1;34,43;14,93
ATP6V0A4;0,17;0,07
ATP6V0A1;6,71;21,88
ATP6V0A2;8,36;6,55
GPR98;5,56;23,34
GPR97;0,03;0,04
SMCR7L;10,62;10,3
MIR613;0;0,13
MIR612;0;0
MIR611;0,63;0,3
RPL36A-HNRNPH2;171,83;145,64
ATP5A1;338,08;215,11
FLJ31306;10,5;32,01
PODXL2;3,99;14,26
NPAT;8,53;8,2
LLGL2;0,32;0,01
LLGL1;1,09;3,14
ACOX2;0,21;0,11
ACOX3;1,25;2,67
ACOX1;3,7;6,24
RABGAP1;11,65;27,03
SNORD119;0,4;1,3
LOC283440;0;0,05
GAL3ST1;0,21;0,05
GAL3ST3;0,2;0,71
GAL3ST2;0,02;0
GAL3ST4;0,73;5,46
C3orf33;3,18;3,18
C3orf32;0,03;0,22
C3orf31;9,25;5,56
C3orf37;13,67;13,64
C3orf35;0,18;0,21
C3orf34;1,49;6,08
NANP;5,23;3,84
NANS;18,26;5,64
C3orf38;15,99;12,26
MATN3;8,72;0,63
MATN2;4,21;1,21
ENDOG;0,88;1,08
EBF4;0,02;1,17
EBF3;0,12;1,75
EBF2;0,14;0,97
EBF1;0,05;12,4
LMNA;0,85;1,45
BDH2;12,49;11
BDH1;1,04;0,9
SPG11;9,78;13,77
GULP1;56,39;10,33
FLVCR2;1,76;0,25
FLVCR1;12,92;9,65
GGPS1;18,08;15,53
C9orf169;0,04;0,02
C9orf163;0,04;0,06
C9orf167;0,17;0,01
MARCKS;50,89;244,41
GALNT5;0,06;0,23
CGRRF1;11,5;8,35
TMEM109;2,97;1,96
TMEM108;0,91;0,94
NACAD;0,04;1,2
TMEM102;0,18;0,06
TMEM101;2,27;2,39
TMEM100;0,19;0,09
TMEM107;1,54;8,78
TMEM104;0,63;0,47
LOC650293;0,14;0
CYP2B6;1,27;0
PDCL2;0,07;0,23
PDCL3;30,51;20,01
LRRC37BP1;6,28;9,55
CCM2;1,63;1,77
HLTF;33,67;34,59
ZHX1-C8ORF76;10,58;8,35
FAM182A;0,01;0,13
KRT7;0,15;0,03
KRT8;17,52;2,72
DACT1;9,65;10,07
DACT3;0,2;5,11
DACT2;0,14;0,04
TMCC1;5,07;10,44
TMCC2;0,26;2,15
TMCC3;0,66;2,97
ODZ4;0,21;7,51
CDHR2;0,01;0,23
PDCL;7,87;13,68
RECK;3,06;3,61
INSC;0,05;0,01
LOC100130691;0,53;0,91
SNORD116-24;11,82;2
SNORD116-25;0,38;0,22
SNORD116-26;1,61;0,29
SNORD116-27;3,68;1,52
SNORD116-20;35,62;6,28
SNORD116-21;27,01;7,59
SNORD116-22;31,75;3,88
SNORD116-23;3,18;0,43
ZNF813;8,26;3,1
ZNF812;0,11;0,08
SPTBN5;0;0
SPTBN4;0,01;0,12
SNORD116-28;2,72;1,33
ZNF816;4,99;3,29
ZNF815;0,32;1,04
ZNF814;4,96;4,48
LOC100131347;0,07;0,17
ARPC4-TTLL3;5,9;5,6
TFAP2A;0,01;0,21
TFAP2C;5,95;1,25
TFAP2B;0;0,18
TFAP2E;0,13;0,79
MRPL39;56,46;19,8
SAMHD1;13,26;7,1
FAM149A;1,02;1,22
RPA4;0,06;0,09
RPA1;38,19;26,2
RPA3;28,61;10,56
RPA2;34,24;29,01
REC8;1,84;4,63
DMRTC1;0,03;0,44
FAM132A;0;0
PCDHGB3;2,79;18,79
PCDHGB2;2,83;19,17
PCDHGB1;2,82;19,28
CHMP2A;11,37;13,2
PCDHGB7;3,05;18,28
PCDHGB6;3,21;26,09
PCDHGB5;2,87;19,01
PCDHGB4;3,04;26,92
RREB1;2,9;0,6
PHC1;177,86;35,73
PHC3;4,21;8,68
PHC2;0,83;8,36
ZNF362;2,94;6,38
ZNF365;0,11;0,4
ZNF367;5,03;7,49
H2AFV;33,69;74,11
H2AFX;11,65;16,37
H2AFY;28,49;95,73
H2AFZ;520,76;279,35
TMEM189-UBE2V1;68,19;44,66
H2AFJ;0,63;1,92
NCAPG2;40,02;18,12
DPEP1;0;0
ADRBK2;8,12;8,77
DPEP3;0;0
NMD3;29,7;22,22
PRKRIR;33,31;46,88
BAIAP3;0,31;0,62
BAIAP2;0,31;1,7
FOXP2;0,03;8,85
WBSCR27;0,11;0,07
VAX2;0;0,18
VAX1;0;2,8
FOXP1;1,76;6,59
SPHAR;6,19;9,1
FOXP4;0,08;2,6
POLDIP3;14,71;21,88
POLDIP2;17,27;15,64
GP1BA;0,37;0,16
RASA1;18,72;24,85
CBARA1;15,27;17,88
MIR3684;0;0
MIR3685;2,11;6,69
ALDH18A1;38,45;22,75
C1orf74;3,16;1,02
C1orf70;0;0,03
PPOX;1,79;2,66
GLB1;17,69;10,64
HS3ST3A1;0,45;0,17
RAB4B-EGLN2;1,32;2,16
PYCARD;0,44;0,04
MIR302D;36,31;0,24
MIR302A;12,45;0,26
MIR302B;45,71;0,58
MIR302C;30,15;0,18
CSNK1A1P1;0,02;0,42
DUSP28;0,25;1,64
PHYHIPL;0,11;26,54
DUSP22;5,38;6,09
DUSP23;4,51;0,81
DUSP26;0,13;1,6
DUSP27;0,04;0
YAF2;0,08;3,36
LOC441617;0;0,09
LOC100507217;25,91;73,08
HSD17B7P2;1,81;0,76
EDIL3;29,06;4,5
LOC401321;1,72;3,04
ZGPAT;0,15;0,54
EIF5A2;2,01;1,55
UPF0639;0,09;0,06
UBE2D2;50,16;45,42
UBE2D3;128,29;82,07
UBE2D1;20,91;16,98
SNORD65;22,58;4,59
SNORD64;49,87;9,92
SNORD67;0,57;1,59
SNORD66;0;0
SNORD61;0,03;0
SNORD60;4,22;0,96
MLL5;9,11;32,27
MLL4;0,82;1,46
EDNRA;1,24;0,22
SNORD69;2,74;1,05
SNORD68;0,66;1,6
SAP130;12,73;9,3
APOE;1,83;0,12
APOB;0,24;0,67
APOO;36,25;36,4
FAM104A;18,09;11,69
FAM104B;2,95;7,91
CCDC50;8,85;21,06
CCDC51;3,99;2,14
CCDC53;7,02;15,98
CCDC55;15,88;12,34
CCDC56;21,61;23,07
CCDC57;0,11;2,12
CCDC58;54,24;14,53
CCDC59;26,17;9,38
NUFIP2;43,4;23,35
NUFIP1;11,51;4,71
PREPL;16,43;51,17
CABP7;0;0,31
CABP1;0,3;0,27
FBXO34;6,76;10,14
FBXO36;2,35;1,73
FBXO30;20,87;12,67
FBXO31;0,93;1,66
FBXO32;0,16;1,05
FBXO33;4,97;3,31
FBXO38;11,31;10,45
MBOAT2;6,87;22,12
MBOAT1;12,51;1,89
MBOAT7;1,69;1,76
MBOAT4;0,04;0,1
WBP11P1;0,19;0,06
ALAS1;14,13;11,35
FICD;0,28;0,52
KIAA0513;0,21;3,22
CDCA7L;42,28;18,76
APBA1;0,28;5,32
APBA3;0;0,08
APBA2;1,22;9,54
MORC2;7,05;9,41
MORC3;8,89;12,86
MORC4;3,89;11,72
PTPRZ1;63,61;139,14
RAI1;0,02;1,41
RAI2;0,08;1,5
COL28A1;0,07;0,34
C1orf112;9,59;6,77
C1orf111;0,14;1,06
CBWD3;1,57;1,38
C1orf116;0,32;0,01
CBWD1;6,97;4,63
C1orf114;3,67;6,9
LGALS3BP;1,91;2,43
TTBK2;4,3;8,86
TTBK1;0;0,68
ZNFX1;2,27;2,75
MAGEF1;19,85;30,23
ACBD3;17,39;12,55
ACBD7;6,93;12,94
ACBD6;27,45;16,77
ACBD5;5,65;13,96
ACBD4;0,14;0,32
NCRNA00258;0,12;0,38
NCRNA00255;0,18;0,29
NCRNA00257;0,09;0,08
DFFA;11,58;4,54
DFFB;1,58;2,16
REV3L;3,01;15,5
RNF19B;5,04;6,63
RNF19A;5,3;12,55
ACCN1;0,07;1,25
ACCN2;0,35;5,78
ACCN3;0,03;0,19
ACCN4;0;0,07
MIR421;0,29;1,93
MIR423;0;0,05
MRPL43;7,67;5,28
MRPL42;62,7;32,94
IPP;2,73;6,54
MRPL40;14,56;11,48
MRPL47;65,57;31,83
IPW;72,15;20,07
MRPL44;32,74;14,63
TRIP6;5,89;0,94
MRPL49;13,11;8,84
MRPL48;23,24;16,51
NGF;0,12;0,06
FHAD1;0,07;0,26
UNC93B1;0,41;0,04
NEK6;4,5;8,1
NEK7;4,71;7,47
NEK4;9,87;14,54
NEK5;0,21;0,39
BMF;1,61;1,87
NEK3;12,03;8,02
NEK1;7,5;9,97
NEK8;0,5;0,16
NEK9;12,38;14,85
G0S2;0,22;0,24
DHPS;7,12;13,34
CCDC3;0,5;0,63
CCDC6;22,81;14,52
DNAJC11;12,88;8,12
CCDC8;1,3;2,11
CCDC9;0,59;0,76
NSD1;24,52;11,72
R3HCC1;2,07;5,56
STBD1;2,73;1,59
EID2B;1,51;4,72
LOC157627;4,95;30,59
AS3MT;12,81;9,9
KEL;0,15;0,79
LOC646278;2,13;2,33
LAGE3;0,83;1,21
STAB1;0,04;0,07
LETMD1;13,9;15,46
TRMT2A;0,12;0,27
ECE2;0,22;0,05
ECE1;3,25;1,98
TRMT2B;4,73;3,73
IMPACT;23,84;12,06
EVC2;1,07;0,14
AURKA;48,86;13,22
AURKB;15,84;12,33
AURKC;0,84;0,28
CELSR2;0,96;7,73
WFIKKN2;0,01;0,03
WFIKKN1;0;0
LOC148413;5,94;4,1
CHN2;0,81;16,2
CHN1;19,3;25,71
CAV2;4,71;0,23
AXL;6,29;2,48
CAV1;24,87;0,29
SARNP;79,48;56,64
ZACN;0,87;3,36
SKAP2;1,97;1,8
SKAP1;0,08;0,23
PITPNA;20,72;27
PITPNB;45,55;31,39
DCAF12L2;0,33;0,6
DCAF12L1;1,38;0,07
CLEC7A;0;0,01
AMN1;5,16;13,64
NCRNA00115;0,75;1,41
LMNB2;8,01;6,74
IL13RA2;0,02;0,83
IL13RA1;20,91;6,56
LMNB1;69,29;78,56
MRPS28;39,94;13,24
MRPS26;11,54;6,81
CD274;0,03;0,06
MRPS24;41,77;18,54
MRPS25;10,19;14,48
MRPS22;35,41;20,78
MRPS23;38,87;16,24
MRPS21;37,19;20,41
LOC100131138;38,4;0
PRORSD1P;1,71;0,73
